Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2022,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,15000,700000.0,0.0
2023,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,20462,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,23964,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,17687,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,41390,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,7420,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,39000,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,11000,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,25000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,32000,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,12000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,23000,700000.0,0.0
2024,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,1700,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,35000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,36000,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,21000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,40000,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,35000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,40000,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,48000,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,28125,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,48820,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,19000,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,30000,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,23000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,64000,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,62000,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,17201,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,9900,700000.0,0.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,75000,700000.0,0.0
2023,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,2900,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,29000,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,58009,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,76000,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,700000.0,41000,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,40000,700000.0,0.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,47322,700000.0,0.0
